lat,lon,depth_m,dataset,source
-25.5218,113.6472,54.9,SW Australia,GlobalArchive / Harvey 2013
-25.8355,113.4958,55.2,SW Australia,GlobalArchive / Harvey 2013
-25.8779,113.6047,107.9,SW Australia,GlobalArchive / Harvey 2013
-25.9302,113.7002,57,SW Australia,GlobalArchive / Harvey 2013
-26.1986,113.67,98.9,SW Australia,GlobalArchive / Harvey 2013
-25.747,113.8274,81.9,SW Australia,GlobalArchive / Harvey 2013
-25.9543,113.0272,75.3,SW Australia,GlobalArchive / Harvey 2013
-25.9457,113.5862,85.1,SW Australia,GlobalArchive / Harvey 2013
-25.6667,113.5387,93.5,SW Australia,GlobalArchive / Harvey 2013
-25.6946,113.3084,84.5,SW Australia,GlobalArchive / Harvey 2013
-25.552,113.3118,81.5,SW Australia,GlobalArchive / Harvey 2013
-26.019,113.6311,52.6,SW Australia,GlobalArchive / Harvey 2013
-25.7374,113.4111,82.1,SW Australia,GlobalArchive / Harvey 2013
-25.5522,113.4349,56.3,SW Australia,GlobalArchive / Harvey 2013
-26.1777,113.6268,66.9,SW Australia,GlobalArchive / Harvey 2013
-26.1152,113.7858,75,SW Australia,GlobalArchive / Harvey 2013
-26.1829,114.0167,87.4,SW Australia,GlobalArchive / Harvey 2013
-26.2648,113.6925,92.7,SW Australia,GlobalArchive / Harvey 2013
-25.88,114.0005,76.7,SW Australia,GlobalArchive / Harvey 2013
-25.7367,113.8179,103.1,SW Australia,GlobalArchive / Harvey 2013
-25.5998,113.5834,107.9,SW Australia,GlobalArchive / Harvey 2013
-25.6388,113.5635,67.9,SW Australia,GlobalArchive / Harvey 2013
-26.1508,113.9827,48.2,SW Australia,GlobalArchive / Harvey 2013
-25.4379,113.2468,109.3,SW Australia,GlobalArchive / Harvey 2013
-26.0667,113.5161,97.2,SW Australia,GlobalArchive / Harvey 2013
-25.8736,113.5481,73.8,SW Australia,GlobalArchive / Harvey 2013
-26.0056,112.915,65.2,SW Australia,GlobalArchive / Harvey 2013
-25.9306,113.4121,96.3,SW Australia,GlobalArchive / Harvey 2013
-25.853,113.5866,65.5,SW Australia,GlobalArchive / Harvey 2013
-25.8702,112.7928,75.1,SW Australia,GlobalArchive / Harvey 2013
-25.9063,113.592,78.6,SW Australia,GlobalArchive / Harvey 2013
-25.873,113.4286,112.1,SW Australia,GlobalArchive / Harvey 2013
-26.0214,113.6107,109.2,SW Australia,GlobalArchive / Harvey 2013
-26.0261,113.6794,111.4,SW Australia,GlobalArchive / Harvey 2013
-26.3153,113.856,50.4,SW Australia,GlobalArchive / Harvey 2013
-25.9956,113.0787,82.1,SW Australia,GlobalArchive / Harvey 2013
-26.0282,113.5104,57.7,SW Australia,GlobalArchive / Harvey 2013
-25.2245,113.3418,111,SW Australia,GlobalArchive / Harvey 2013
-26.2405,113.5075,73.9,SW Australia,GlobalArchive / Harvey 2013
-25.8657,113.4677,50.1,SW Australia,GlobalArchive / Harvey 2013
-26.2734,113.206,84.8,SW Australia,GlobalArchive / Harvey 2013
-26.2676,113.0483,114.7,SW Australia,GlobalArchive / Harvey 2013
-25.8688,114.0301,85.4,SW Australia,GlobalArchive / Harvey 2013
-26.1492,113.1689,45,SW Australia,GlobalArchive / Harvey 2013
-25.9005,113.5688,113.3,SW Australia,GlobalArchive / Harvey 2013
-26.0071,113.2228,105.2,SW Australia,GlobalArchive / Harvey 2013
-26.0534,113.8769,86.3,SW Australia,GlobalArchive / Harvey 2013
-26.4062,113.0582,65.7,SW Australia,GlobalArchive / Harvey 2013
-26.2062,113.2779,78.1,SW Australia,GlobalArchive / Harvey 2013
-25.8551,113.1952,104.3,SW Australia,GlobalArchive / Harvey 2013
-25.7581,113.5126,85,SW Australia,GlobalArchive / Harvey 2013
-26.0232,113.3773,97.7,SW Australia,GlobalArchive / Harvey 2013
-25.9,114.0963,57.9,SW Australia,GlobalArchive / Harvey 2013
-25.6193,113.4989,67.2,SW Australia,GlobalArchive / Harvey 2013
-25.54,113.8329,98.9,SW Australia,GlobalArchive / Harvey 2013
-26.1743,113.7052,110.4,SW Australia,GlobalArchive / Harvey 2013
-25.9293,113.6714,61,SW Australia,GlobalArchive / Harvey 2013
-25.5996,113.629,101.2,SW Australia,GlobalArchive / Harvey 2013
-26.0174,113.5685,57.4,SW Australia,GlobalArchive / Harvey 2013
-25.9131,113.3217,50.2,SW Australia,GlobalArchive / Harvey 2013
-25.9215,113.4142,91.6,SW Australia,GlobalArchive / Harvey 2013
-26.1219,113.6172,98.4,SW Australia,GlobalArchive / Harvey 2013
-26.0112,112.881,94.9,SW Australia,GlobalArchive / Harvey 2013
-25.9074,113.0361,69.7,SW Australia,GlobalArchive / Harvey 2013
-26.0035,113.3949,49,SW Australia,GlobalArchive / Harvey 2013
-25.6217,113.0335,103.8,SW Australia,GlobalArchive / Harvey 2013
-26.0202,113.5284,108.7,SW Australia,GlobalArchive / Harvey 2013
-26.0083,113.6175,66.3,SW Australia,GlobalArchive / Harvey 2013
-25.7258,113.7211,46.5,SW Australia,GlobalArchive / Harvey 2013
-26.1641,113.7784,86.7,SW Australia,GlobalArchive / Harvey 2013
-25.9102,113.6417,104.2,SW Australia,GlobalArchive / Harvey 2013
-26.2879,113.6365,73.2,SW Australia,GlobalArchive / Harvey 2013
-25.6082,113.56,81.9,SW Australia,GlobalArchive / Harvey 2013
-25.9684,113.5085,52.5,SW Australia,GlobalArchive / Harvey 2013
-26.017,113.298,106.6,SW Australia,GlobalArchive / Harvey 2013
-26.2096,114.0569,84.6,SW Australia,GlobalArchive / Harvey 2013
-25.9019,113.3019,95.1,SW Australia,GlobalArchive / Harvey 2013
-26.1001,113.9243,61.6,SW Australia,GlobalArchive / Harvey 2013
-26.0334,113.7347,110.1,SW Australia,GlobalArchive / Harvey 2013
-25.5781,114.0088,112.5,SW Australia,GlobalArchive / Harvey 2013
-25.9439,113.6829,80,SW Australia,GlobalArchive / Harvey 2013
-26.1679,113.395,98.8,SW Australia,GlobalArchive / Harvey 2013
-25.8592,113.4226,101.3,SW Australia,GlobalArchive / Harvey 2013
-25.9907,113.1598,51,SW Australia,GlobalArchive / Harvey 2013
-25.7525,113.7594,54.4,SW Australia,GlobalArchive / Harvey 2013
-25.5419,113.5116,51.2,SW Australia,GlobalArchive / Harvey 2013
-26.1482,113.4856,77,SW Australia,GlobalArchive / Harvey 2013
-25.7863,113.5192,77.1,SW Australia,GlobalArchive / Harvey 2013
-25.8788,113.3416,109.4,SW Australia,GlobalArchive / Harvey 2013
-25.6761,113.3941,72.4,SW Australia,GlobalArchive / Harvey 2013
-25.9574,113.6942,98.2,SW Australia,GlobalArchive / Harvey 2013
-25.6908,113.8277,67.1,SW Australia,GlobalArchive / Harvey 2013
-26.3363,113.5146,49.8,SW Australia,GlobalArchive / Harvey 2013
-25.4776,113.5613,61.1,SW Australia,GlobalArchive / Harvey 2013
-25.6838,113.5581,64.2,SW Australia,GlobalArchive / Harvey 2013
-25.9377,113.5472,91,SW Australia,GlobalArchive / Harvey 2013
-26.2623,113.4395,83.6,SW Australia,GlobalArchive / Harvey 2013
-25.7392,113.643,96,SW Australia,GlobalArchive / Harvey 2013
-25.7792,113.6764,58.5,SW Australia,GlobalArchive / Harvey 2013
-25.9016,113.5512,50.4,SW Australia,GlobalArchive / Harvey 2013
-25.8621,113.638,60.4,SW Australia,GlobalArchive / Harvey 2013
-26.046,113.3578,74.8,SW Australia,GlobalArchive / Harvey 2013
-25.8078,113.5482,111.8,SW Australia,GlobalArchive / Harvey 2013
-25.8263,113.6553,89.1,SW Australia,GlobalArchive / Harvey 2013
-25.9698,113.4732,54.9,SW Australia,GlobalArchive / Harvey 2013
-26.2341,113.469,113.1,SW Australia,GlobalArchive / Harvey 2013
-25.7248,113.3837,86,SW Australia,GlobalArchive / Harvey 2013
-25.7615,113.6434,98.7,SW Australia,GlobalArchive / Harvey 2013
-26.1091,113.5637,101,SW Australia,GlobalArchive / Harvey 2013
-26.2986,114.168,62.4,SW Australia,GlobalArchive / Harvey 2013
-25.8488,113.4664,85.7,SW Australia,GlobalArchive / Harvey 2013
-25.9863,113.5279,84.6,SW Australia,GlobalArchive / Harvey 2013
-25.8368,113.2475,75.1,SW Australia,GlobalArchive / Harvey 2013
-26.2235,113.722,95.3,SW Australia,GlobalArchive / Harvey 2013
-26.1398,113.4232,97.3,SW Australia,GlobalArchive / Harvey 2013
-25.6286,113.5333,77.9,SW Australia,GlobalArchive / Harvey 2013
-25.7991,113.7363,67,SW Australia,GlobalArchive / Harvey 2013
-25.7534,113.8814,97.8,SW Australia,GlobalArchive / Harvey 2013
-25.4462,113.4381,111,SW Australia,GlobalArchive / Harvey 2013
-25.8678,113.4108,85.2,SW Australia,GlobalArchive / Harvey 2013
-26.4002,113.552,64.6,SW Australia,GlobalArchive / Harvey 2013
-25.8166,113.8023,93.1,SW Australia,GlobalArchive / Harvey 2013
-25.6072,113.5291,53.6,SW Australia,GlobalArchive / Harvey 2013
-25.3851,113.548,55.2,SW Australia,GlobalArchive / Harvey 2013
-26.2442,113.6967,45,SW Australia,GlobalArchive / Harvey 2013
-26.1877,113.685,88.8,SW Australia,GlobalArchive / Harvey 2013
-26.0765,113.7717,87.6,SW Australia,GlobalArchive / Harvey 2013
-26.1635,113.0118,88.8,SW Australia,GlobalArchive / Harvey 2013
-26.0614,113.2044,55.9,SW Australia,GlobalArchive / Harvey 2013
-25.9463,113.2048,73.1,SW Australia,GlobalArchive / Harvey 2013
-26.2003,113.5942,81.5,SW Australia,GlobalArchive / Harvey 2013
-25.3908,113.1608,91.5,SW Australia,GlobalArchive / Harvey 2013
-25.8731,113.4428,49.1,SW Australia,GlobalArchive / Harvey 2013
-25.921,113.6058,98,SW Australia,GlobalArchive / Harvey 2013
-25.7761,113.9852,103.4,SW Australia,GlobalArchive / Harvey 2013
-25.8906,113.4397,112.9,SW Australia,GlobalArchive / Harvey 2013
-25.933,113.4948,73.7,SW Australia,GlobalArchive / Harvey 2013
-25.5308,113.5589,65.4,SW Australia,GlobalArchive / Harvey 2013
-25.9543,113.3512,105.7,SW Australia,GlobalArchive / Harvey 2013
-26.2209,112.7001,105.5,SW Australia,GlobalArchive / Harvey 2013
-25.8036,113.8778,93.8,SW Australia,GlobalArchive / Harvey 2013
-25.9879,113.4141,66.6,SW Australia,GlobalArchive / Harvey 2013
-26.0304,113.3208,102.8,SW Australia,GlobalArchive / Harvey 2013
-26.167,113.572,105.3,SW Australia,GlobalArchive / Harvey 2013
-25.7929,113.3456,94.8,SW Australia,GlobalArchive / Harvey 2013
-25.9435,113.73,87.5,SW Australia,GlobalArchive / Harvey 2013
-25.7711,113.3865,85.8,SW Australia,GlobalArchive / Harvey 2013
-25.9586,113.7139,102.2,SW Australia,GlobalArchive / Harvey 2013
-26.0646,113.4416,110.5,SW Australia,GlobalArchive / Harvey 2013
-25.5874,113.2554,48.9,SW Australia,GlobalArchive / Harvey 2013
-25.9679,113.6843,68.3,SW Australia,GlobalArchive / Harvey 2013
-25.663,114.1104,110.1,SW Australia,GlobalArchive / Harvey 2013
-26.2004,113.2519,51.8,SW Australia,GlobalArchive / Harvey 2013
-26.0165,113.3898,106.5,SW Australia,GlobalArchive / Harvey 2013
-25.9673,113.2077,113.5,SW Australia,GlobalArchive / Harvey 2013
-25.9977,113.898,49.1,SW Australia,GlobalArchive / Harvey 2013
-25.5628,113.5318,72.3,SW Australia,GlobalArchive / Harvey 2013
-25.9057,112.9182,105.7,SW Australia,GlobalArchive / Harvey 2013
-25.8389,112.9508,103.1,SW Australia,GlobalArchive / Harvey 2013
-26.1356,113.7348,112.9,SW Australia,GlobalArchive / Harvey 2013
-26.0823,113.5748,71.6,SW Australia,GlobalArchive / Harvey 2013
-25.6505,113.0025,69.9,SW Australia,GlobalArchive / Harvey 2013
-25.5854,113.199,87.1,SW Australia,GlobalArchive / Harvey 2013
-25.5878,113.5996,73.7,SW Australia,GlobalArchive / Harvey 2013
-26.2452,113.5112,94.1,SW Australia,GlobalArchive / Harvey 2013
-25.3875,113.0335,56.8,SW Australia,GlobalArchive / Harvey 2013
-25.6458,113.6881,47.1,SW Australia,GlobalArchive / Harvey 2013
-25.9067,113.3936,72.1,SW Australia,GlobalArchive / Harvey 2013
-25.7241,113.811,89.1,SW Australia,GlobalArchive / Harvey 2013
-26.1428,113.6126,63.1,SW Australia,GlobalArchive / Harvey 2013
-26.174,113.7957,57.1,SW Australia,GlobalArchive / Harvey 2013
-25.8877,113.009,55.5,SW Australia,GlobalArchive / Harvey 2013
-26.1996,113.6867,113,SW Australia,GlobalArchive / Harvey 2013
-25.8525,113.7628,107.5,SW Australia,GlobalArchive / Harvey 2013
-25.5756,113.631,97.6,SW Australia,GlobalArchive / Harvey 2013
-26.1585,113.2211,101.7,SW Australia,GlobalArchive / Harvey 2013
-26.0846,113.4881,107.2,SW Australia,GlobalArchive / Harvey 2013
-25.8884,113.0207,56.5,SW Australia,GlobalArchive / Harvey 2013
-26.1544,113.3571,72.3,SW Australia,GlobalArchive / Harvey 2013
-25.9958,113.313,84.6,SW Australia,GlobalArchive / Harvey 2013
-25.6818,113.5863,82.3,SW Australia,GlobalArchive / Harvey 2013
-25.6576,114.041,105.8,SW Australia,GlobalArchive / Harvey 2013
-25.804,113.5842,89.1,SW Australia,GlobalArchive / Harvey 2013
-26.3629,113.3955,108.9,SW Australia,GlobalArchive / Harvey 2013
-25.9135,113.7309,90.4,SW Australia,GlobalArchive / Harvey 2013
-25.6338,113.6917,59.5,SW Australia,GlobalArchive / Harvey 2013
-25.6967,113.5622,56.8,SW Australia,GlobalArchive / Harvey 2013
-25.9477,113.3357,102.2,SW Australia,GlobalArchive / Harvey 2013
-26.575,113.6458,73.7,SW Australia,GlobalArchive / Harvey 2013
-25.8848,113.6727,68.6,SW Australia,GlobalArchive / Harvey 2013
-25.7566,113.573,52.7,SW Australia,GlobalArchive / Harvey 2013
-25.8885,113.9808,111.8,SW Australia,GlobalArchive / Harvey 2013
-25.8606,114.0765,110,SW Australia,GlobalArchive / Harvey 2013
-25.7921,113.2527,56.3,SW Australia,GlobalArchive / Harvey 2013
-25.9991,113.6004,73.7,SW Australia,GlobalArchive / Harvey 2013
-25.5725,113.1919,108.5,SW Australia,GlobalArchive / Harvey 2013
-25.7824,113.3638,98.2,SW Australia,GlobalArchive / Harvey 2013
-26.2107,113.3914,54.5,SW Australia,GlobalArchive / Harvey 2013
-25.5546,113.4648,75.9,SW Australia,GlobalArchive / Harvey 2013
-25.5989,113.9395,59.3,SW Australia,GlobalArchive / Harvey 2013
-25.694,113.2925,99.5,SW Australia,GlobalArchive / Harvey 2013
-26.3157,113.6286,76.5,SW Australia,GlobalArchive / Harvey 2013
-26.0423,113.6968,90,SW Australia,GlobalArchive / Harvey 2013
-25.7411,113.5605,86.7,SW Australia,GlobalArchive / Harvey 2013
-25.8891,113.64,104.7,SW Australia,GlobalArchive / Harvey 2013
-25.813,113.3374,111.2,SW Australia,GlobalArchive / Harvey 2013
-25.2851,113.3854,102.3,SW Australia,GlobalArchive / Harvey 2013
-26.1046,113.3299,53.8,SW Australia,GlobalArchive / Harvey 2013
-26.4283,112.9519,93,SW Australia,GlobalArchive / Harvey 2013
-25.8316,113.6565,45.9,SW Australia,GlobalArchive / Harvey 2013
-26.0719,113.3961,69.1,SW Australia,GlobalArchive / Harvey 2013
-25.7885,113.4559,50.8,SW Australia,GlobalArchive / Harvey 2013
-26.1031,113.6663,68,SW Australia,GlobalArchive / Harvey 2013
-25.347,113.5125,82.2,SW Australia,GlobalArchive / Harvey 2013
-25.9309,113.4721,94.9,SW Australia,GlobalArchive / Harvey 2013
-26.0193,113.3677,92.2,SW Australia,GlobalArchive / Harvey 2013
-25.9416,113.904,59.9,SW Australia,GlobalArchive / Harvey 2013
-25.6844,113.5349,51.2,SW Australia,GlobalArchive / Harvey 2013
-25.8757,113.5299,106.4,SW Australia,GlobalArchive / Harvey 2013
-26.3064,113.745,96.4,SW Australia,GlobalArchive / Harvey 2013
-25.9012,113.5948,96.5,SW Australia,GlobalArchive / Harvey 2013
-25.7099,113.2799,84.5,SW Australia,GlobalArchive / Harvey 2013
-25.8903,113.3984,93.3,SW Australia,GlobalArchive / Harvey 2013
-25.7162,113.3057,90.3,SW Australia,GlobalArchive / Harvey 2013
-25.9366,113.0791,82,SW Australia,GlobalArchive / Harvey 2013
-25.9145,113.4583,90.2,SW Australia,GlobalArchive / Harvey 2013
-25.7794,113.6485,103.4,SW Australia,GlobalArchive / Harvey 2013
-25.6518,113.3705,69.2,SW Australia,GlobalArchive / Harvey 2013
-26.2116,113.6103,88.5,SW Australia,GlobalArchive / Harvey 2013
-25.9084,113.6889,91.4,SW Australia,GlobalArchive / Harvey 2013
-25.9177,113.4718,76.1,SW Australia,GlobalArchive / Harvey 2013
-26.0897,113.3813,96.8,SW Australia,GlobalArchive / Harvey 2013
-21.2586,114.3245,52.3,NW Australia,GlobalArchive
-21.1577,114.4302,32.5,NW Australia,GlobalArchive
-20.8533,114.8911,57.2,NW Australia,GlobalArchive
-21.1041,114.5228,81.8,NW Australia,GlobalArchive
-21.1962,114.3845,78.9,NW Australia,GlobalArchive
-20.9591,114.3874,40,NW Australia,GlobalArchive
-21.3092,114.5183,65,NW Australia,GlobalArchive
-20.7385,114.5328,78.8,NW Australia,GlobalArchive
-21.1211,114.8364,48.7,NW Australia,GlobalArchive
-20.9527,114.3942,45.9,NW Australia,GlobalArchive
-20.9872,114.7442,54.8,NW Australia,GlobalArchive
-21.0001,114.3423,40.5,NW Australia,GlobalArchive
-20.5477,114.5549,30.6,NW Australia,GlobalArchive
-21.2063,114.4136,87.5,NW Australia,GlobalArchive
-20.7136,114.7515,66.5,NW Australia,GlobalArchive
-20.9921,114.8493,74.1,NW Australia,GlobalArchive
-21.2088,114.8838,80.1,NW Australia,GlobalArchive
-21.0172,114.6711,84.1,NW Australia,GlobalArchive
-20.8133,114.3737,37.7,NW Australia,GlobalArchive
-21.1064,114.4689,53.7,NW Australia,GlobalArchive
-21.193,114.5753,62.3,NW Australia,GlobalArchive
-20.9618,113.9782,40.8,NW Australia,GlobalArchive
-20.7529,114.8551,48.8,NW Australia,GlobalArchive
-21.0184,114.2328,39.3,NW Australia,GlobalArchive
-21.346800000000002,114.3852,42.9,NW Australia,GlobalArchive
-21.3267,114.8329,74,NW Australia,GlobalArchive
-21.1921,114.6024,62.1,NW Australia,GlobalArchive
-21.1318,114.6181,69,NW Australia,GlobalArchive
-21.0054,114.3126,43.7,NW Australia,GlobalArchive
-20.8324,114.0996,76.2,NW Australia,GlobalArchive
-21.1087,114.3021,58.2,NW Australia,GlobalArchive
-21.2785,114.6255,73.8,NW Australia,GlobalArchive
-20.8482,114.6793,84.4,NW Australia,GlobalArchive
-20.9311,114.5108,46.6,NW Australia,GlobalArchive
-20.7107,114.4015,32.7,NW Australia,GlobalArchive
-21.4206,114.595,42.3,NW Australia,GlobalArchive
-20.9782,114.3444,45,NW Australia,GlobalArchive
-20.6617,114.6278,78.9,NW Australia,GlobalArchive
-20.819,114.2247,50,NW Australia,GlobalArchive
-21.2081,114.9654,79.3,NW Australia,GlobalArchive
-20.8169,113.8238,83.6,NW Australia,GlobalArchive
-21.218,114.8545,33.5,NW Australia,GlobalArchive
-21.1133,114.3362,78.7,NW Australia,GlobalArchive
-20.7031,114.8131,40.3,NW Australia,GlobalArchive
-21.0725,114.1349,58.6,NW Australia,GlobalArchive
-20.7929,114.4173,76.7,NW Australia,GlobalArchive
-21.0728,114.5527,36.6,NW Australia,GlobalArchive
-21.3941,114.2476,77.2,NW Australia,GlobalArchive
-21.2122,114.3663,66.5,NW Australia,GlobalArchive
-21.2721,114.6238,88,NW Australia,GlobalArchive
-21.1211,114.6371,62.4,NW Australia,GlobalArchive
-21.0841,114.1931,52.8,NW Australia,GlobalArchive
-21.0383,114.2483,71.5,NW Australia,GlobalArchive
-21.0608,114.5518,82.9,NW Australia,GlobalArchive
-20.5269,114.8544,60.1,NW Australia,GlobalArchive
-21.3465,114.6868,80.7,NW Australia,GlobalArchive
-21.1037,114.1201,34.8,NW Australia,GlobalArchive
-20.9127,114.32,69.4,NW Australia,GlobalArchive
-20.5929,114.0404,53.2,NW Australia,GlobalArchive
-20.9779,114.6961,42.6,NW Australia,GlobalArchive
-20.6902,114.2822,86,NW Australia,GlobalArchive
-21.4111,114.4973,84.9,NW Australia,GlobalArchive
-20.6384,114.6523,32.8,NW Australia,GlobalArchive
-21.1726,114.4667,69.1,NW Australia,GlobalArchive
-21.0691,114.2876,63.6,NW Australia,GlobalArchive
-21.2774,114.5288,62.3,NW Australia,GlobalArchive
-20.9665,114.1672,86.6,NW Australia,GlobalArchive
-20.5537,115.0936,59.9,NW Australia,GlobalArchive
-20.3945,113.876,49.5,NW Australia,GlobalArchive
-21.2692,115.0509,59,NW Australia,GlobalArchive
-20.8785,114.6428,71.6,NW Australia,GlobalArchive
-20.6529,114.3541,76,NW Australia,GlobalArchive
-21.0489,114.5687,48.9,NW Australia,GlobalArchive
-21.0545,114.4879,31.9,NW Australia,GlobalArchive
-21.0762,115.0631,69.6,NW Australia,GlobalArchive
-20.8505,115.052,42.7,NW Australia,GlobalArchive
-20.6506,114.6917,35.5,NW Australia,GlobalArchive
-20.8281,114.429,88.9,NW Australia,GlobalArchive
-20.92,114.5379,46,NW Australia,GlobalArchive
-21.0755,114.3047,48.8,NW Australia,GlobalArchive
-20.8754,114.2607,81.4,NW Australia,GlobalArchive
-21.1374,114.4239,42.5,NW Australia,GlobalArchive
-21.0698,114.8827,89.3,NW Australia,GlobalArchive
-20.7259,114.3804,76.7,NW Australia,GlobalArchive
-20.8895,114.569,50.1,NW Australia,GlobalArchive
-20.9397,114.8232,67.3,NW Australia,GlobalArchive
-21.0639,114.606,68.8,NW Australia,GlobalArchive
-20.7672,114.6319,33.3,NW Australia,GlobalArchive
